ID,text,issue,explanation,modification,extra explanations and notes
<doc	,Fanfiction - Harmonic Resonances - Link: https://archiveofourown.org/works/26524723/chapters/64650841 >,,,,
"<seg id=""1"">",Harmonic Resonances,X,X,,
"<seg id=""2"">",Tamoline,X,X,,
"<seg id=""3"">","Summary: Months had passed and Carrie was still missing Sue, despite the regular phone calls. ",X,X,,
"<seg id=""4"">","But things were changing, things always change, and rarely in the ways that you expect.",X,X,,
"<seg id=""5"">",Chapter 1,X,X,,
"<seg id=""6"">","Carrie stood awkwardly in the corner of the bar, shifting from foot to foot, letting the noise of the crowd wash over her.",X,X,,
"<seg id=""7"">",The smell of cigarette smoke and alcohol was so thick in the air she could almost swallow it.,X,X,,
"<seg id=""8"">","“You sure I can’t get you a drink?” a bearded man shouted at her, his words slurring, the scent of hops getting even stronger.",X,X,,
"<seg id=""9"">",She averted her eyes and shook her head.,X,X,,
"<seg id=""10"">","“No thanks,” she murmured, but she doubted he could hear her over the background babble.",X,X,,
"<seg id=""11"">",She jumped a little as he reached forwards and hugged her tightly.,X,X,,
"<seg id=""12"">","“Thank you for finding Ben,” he said into her ear.",X,X,,
"<seg id=""13"">","“If there’s anything — anything — I can ever do for you, you just let me know.”",X,X,,
"<seg id=""14"">","It was… She hugged him back stiffly, grateful despite herself when he stepped away.",X,X,,
"<seg id=""15"">","This was what she’d wanted, way back when, wasn’t it? ",X,X,,
"<seg id=""16"">","Wanting to be known, to be appreciated.","gender
gender","known=feminine
appreciated=feminine",,
"<seg id=""17"">","It was just that it could all get a bit overwhelming after a while, especially with so many people focussing on her, coming up and talking to her, wanting something from her that she couldn’t help feeling that she might not be up to.",X,X,,
"<seg id=""18"">",It was easier when Chris was at her side. ,X,X,,
"<seg id=""19"">","But Carrie was hardly going to tie Chris to her apron strings when there was a party to be enjoyed, free alcohol to be had…",lexical ambiguity,tied to her apron strings=to tie someone to her apron vs to,,
"<seg id=""20"">","Men to be flirted with, she couldn’t help noting sourly, seeing Chris seemingly being courted by not just one but two guys.","gender 
gender","Chris=feminine
courted=feminine",,
"<seg id=""21"">",She certainly seemed to be enjoying herself.,X,X,,
"<seg id=""22"">","Not that it was any of Carrie’s business, of course.",X,X,,
"<seg id=""23"">","She’d had enough for the night, she abruptly decided.",lexical ambiguity,she'd had enough =satiated vs tired,,
"<seg id=""24"">","This might have been a really nice day, a day when they’d managed to do some unalloyed good, but...","gender 
lexical ambiguity","they=feminine
unalloyed good=single/separate vs pure good deeds",,
"<seg id=""25"">","It could be over now, at least for her.",X,X,,
"<seg id=""26"">","She made a little wave in Chris’ direction, for politeness’ sake.",lexical ambiguity,wave= sea wave vs a little gesture,,
"<seg id=""27"">","No matter that she probably didn’t see, probably wouldn’t have cared about the gesture one way or another even if she had, and slid out of the bar.",lexical ambiguity,slid out =slip vs to exit,,
"<seg id=""28"">","A blast of fresh, clean air greeted her and she stood there for a moment, looking at the lights of the town, at the darkness of the night sky dotted with stars above it, the noise of the celebration muted behind her.",X,X,,
"<seg id=""29"">","She waited for a few minutes longer, but nothing happened, no one followed her, so she made her way back to the motel they were staying at.","gender 
gender","they=feminine
were staying at=feminine",,
"<seg id=""30"">",Though it didn’t seem unlikely she’d be spending the night there alone.,X,X,,
"<seg id=""31"">",Not that it mattered.,X,X,,
"<seg id=""32"">",It wasn’t as if she wanted Chris all to herself.,X,X,,
"<seg id=""33"">","But a little part of her, maybe.",X,X,,
"<seg id=""34"">",At least she’d be the one Chris would leave with in the morning.,X,X,,
"<seg id=""35"">",She couldn’t help wondering what Momma would think of her now.,X,X,,
"<seg id=""36"">",Whether what good she’d managed to do would go some way to counteract all the sins she’d perpetrated.,X,X,,
"<seg id=""37"">","All the sins that she’d committed in her heart, which Momma would have said were just as grave as the ones she’d actually birthed into the world.",X,X,,
"<seg id=""38"">","She… more and more, she just didn’t know what to believe, just hoped whatever was looking down on her could find some measure of grace in its heart for her.",X,X,,
"<seg id=""39"">","She crouched beside the bed, laid her crosses carefully on the sheets. ",X,X,,
"<seg id=""40"">",She prayed on it.,"reference
gender","it=bed
it=feminine",,
"<seg id=""41"">","Prayed for herself, prayed for Chris who she was sure didn’t think she needed it, prayed for Sue who Carrie couldn’t help worrying thought that she didn’t deserve it. ",X,X,,
"<seg id=""42"">","In the end, she prayed for them. ",gender,them=feminine,,
"<seg id=""43"">","""I was praying for you.",number,you=plural,,
"<seg id=""44"">","Chris and Sue.""",X,X,,
"<seg id=""45"">","Prayed for Momma, all those long miles back in Chamberlain, a wish that she was doing well and maybe, maybe had found some measure of joy in her life that had always seemed to be absent for as long as she’d had Carrie hanging around her neck.",lexical ambiguity,measure of joy= measure of joy (literal translation) vs a bit of happiness,,
"<seg id=""46"">",She jumped as the motel room door clicked behind her. ,X,X,,
"<seg id=""47"">",It shut.,"reference
gender","it=door 
it door= feminine",,
"<seg id=""48"">",She’d been so lost in prayer. ,X,X,,
"<seg id=""49"">",She hadn’t even noticed it open.,"reference
gender","it=door 
it door= feminine",,
"<seg id=""50"">",“I can leave again if you’d prefer.,X,X,,
"<seg id=""51"">","If you want some more time to… do all that in peace,” Chris said from behind her.",X,X,,
"<seg id=""52"">","“No, it’s alright,” she said, quickly gathering them up, wrapping them in the towel in which she kept them and laying it carefully back in her bag.","reference
gender","them=crosses
them (crosses)=feminine",,
"<seg id=""53"">","She turned around to see Chris propped up against the wall, a smirk on her face that was slightly soft around the edges.",gender,propped up=feminine,,
"<seg id=""54"">",Or maybe she was just more drunk than Carrie had thought.,X,X,,
"<seg id=""55"">",“I’m surprised to see you back so early.”,gender,surprised=feminine,,
"<seg id=""56"">","Or at all, she couldn’t help thinking.",ellipsis,or= you to be back,,
